question,contexts,answer,baseline_answer,ground_truth,faithfulness,answer_relevancy,context_precision,context_recall
Có cần xin phép khi thu thập dữ liệu trẻ em không?,['Điều 20: Xử lý dữ liệu của trẻ em từ đủ 7 tuổi trở lên phải có sự đồng ý của trẻ và cha mẹ/người giám hộ.'],"Theo Nghị định 13, cần sự đồng ý của cả trẻ em (nếu từ đủ 7 tuổi) và cha mẹ hoặc người giám hộ hợp pháp.",Dữ liệu trả về từ hệ thống cơ bản: Cần sự đồng ý của cả...,Cần sự đồng ý của cả trẻ em (nếu từ đủ 7 tuổi) và cha mẹ hoặc người giám hộ hợp pháp.,0.9071580303975125,0.8827589450421194,0.8597542399262849,0.862106216708918
Cơ quan chuyên trách bảo vệ dữ liệu cá nhân là ai?,"['Điều 29: Cục An ninh mạng và phòng, chống tội phạm sử dụng công nghệ cao (A05) - Bộ Công an.']","Theo Nghị định 13, là cục an ninh mạng và phòng, chống tội phạm công nghệ cao (a05) thuộc bộ công an.",Dữ liệu trả về từ hệ thống cơ bản: Là Cục An ninh mạng ...,"Là Cục An ninh mạng và phòng, chống tội phạm công nghệ cao (A05) thuộc Bộ Công an.",0.8784291701876308,0.9486763119201155,0.7854411052276333,0.9147357895113618
Chuyển dữ liệu cá nhân ra nước ngoài cần điều kiện gì?,['Điều 25: Phải lập Hồ sơ đánh giá tác động chuyển dữ liệu ra nước ngoài và nộp cho Bộ Công an (A05).'],"Theo Nghị định 13, cần lập hồ sơ đánh giá tác động và nộp cho a05, đồng thời phải xin ý kiến khi cần thiết.",Dữ liệu trả về từ hệ thống cơ bản: Cần lập Hồ sơ đánh g...,"Cần lập Hồ sơ đánh giá tác động và nộp cho A05, đồng thời phải xin ý kiến khi cần thiết.",0.9205654432902086,0.8417559881504497,0.8806148119150918,0.9703357449772084
Hồ sơ đánh giá tác động bảo vệ dữ liệu cá nhân lưu ở đâu?,"['Điều 24: Hồ sơ phải luôn có sẵn để phục vụ hoạt động kiểm tra, đánh giá của Bộ Công an.']","Theo Nghị định 13, lưu trữ tại cơ quan tổ chức và phải luôn sẵn sàng để bộ công an kiểm tra.",Dữ liệu trả về từ hệ thống cơ bản: Lưu trữ tại cơ quan ...,Lưu trữ tại cơ quan tổ chức và phải luôn sẵn sàng để Bộ Công an kiểm tra.,0.9847608731318123,0.8189838318008842,0.9630756362823341,0.8929048731730584
Đánh giá tác động bảo vệ dữ liệu phải làm khi nào?,['Điều 24: Lập hồ sơ đánh giá tác động ngay từ khi bắt đầu xử lý dữ liệu cá nhân.'],"Theo Nghị định 13, phải lập ngay từ thời điểm bắt đầu tiến hành xử lý dữ liệu.",Dữ liệu trả về từ hệ thống cơ bản: Phải lập ngay từ thờ...,Phải lập ngay từ thời điểm bắt đầu tiến hành xử lý dữ liệu.,0.9391397981985898,0.8451988977009951,0.9112471944015483,0.9972984484985714
Bao lâu phải cập nhật Hồ sơ đánh giá tác động?,"['Điều 24: Khi có sự thay đổi về nội dung hồ sơ đã gửi Bộ Công an, phải cập nhật trong vòng 60 ngày.']","Theo Nghị định 13, phải cập nhật trong thời hạn 60 ngày kể từ khi có sự thay đổi.",Dữ liệu trả về từ hệ thống cơ bản: Phải cập nhật trong ...,Phải cập nhật trong thời hạn 60 ngày kể từ khi có sự thay đổi.,0.9522111649416255,0.9197781042085121,0.8662544196386672,0.886906820419214
Mức phạt vi phạm quy định bảo vệ dữ liệu cá nhân là bao nhiêu?,"['Nghị định 13 quy định hình thức xử lý từ kỷ luật, phạt hành chính đến truy cứu trách nhiệm hình sự tùy mức độ.']","Theo Nghị định 13, tùy theo mức độ có thể bị xử phạt hành chính hoặc truy cứu trách nhiệm hình sự.",Dữ liệu trả về từ hệ thống cơ bản: Tùy theo mức độ có t...,Tùy theo mức độ có thể bị xử phạt hành chính hoặc truy cứu trách nhiệm hình sự.,0.9189395970183315,0.8675877702747419,0.874714951282339,0.9015242686662943
Thông tin thẻ tín dụng thuộc loại dữ liệu nào?,"['Điều 2: Dữ liệu cá nhân nhạy cảm bao gồm thông tin thanh toán, thông tin tài chính...']","Theo Nghị định 13, thuộc loại dữ liệu cá nhân nhạy cảm (thông tin tài chính/thanh toán).",Dữ liệu trả về từ hệ thống cơ bản: Thuộc loại dữ liệu c...,Thuộc loại dữ liệu cá nhân nhạy cảm (thông tin tài chính/thanh toán).,0.9112058700730513,0.9058852054642631,0.7834084430257147,0.8352814815812055
Điều gì xảy ra nếu tôi không đồng ý cung cấp dữ liệu?,['Điều 9: Chủ thể dữ liệu có quyền từ chối sự đồng ý. Tổ chức không được ép buộc.'],"Theo Nghị định 13, bạn có quyền từ chối và tổ chức không được phép ép buộc hoặc phân biệt đối xử.",Dữ liệu trả về từ hệ thống cơ bản: Bạn có quyền từ chối...,Bạn có quyền từ chối và tổ chức không được phép ép buộc hoặc phân biệt đối xử.,0.9628373886856039,0.9261948745182498,0.8882402736254869,0.8704383278223853
Doanh nghiệp nước ngoài có tuân thủ NĐ13 không?,"['Điều 1: Áp dụng cho cơ quan, tổ chức, cá nhân Việt Nam và nước ngoài có tham gia xử lý dữ liệu tại VN.']","Theo Nghị định 13, có, mọi doanh nghiệp có tham gia xử lý dữ liệu cá nhân tại việt nam đều phải tuân thủ.","Dữ liệu trả về từ hệ thống cơ bản: Có, mọi doanh nghiệp...","Có, mọi doanh nghiệp có tham gia xử lý dữ liệu cá nhân tại Việt Nam đều phải tuân thủ.",0.8879685893514085,0.8545577939626516,0.9949513312472487,0.9345290778712341
Sự đồng ý hợp lệ là như thế nào?,"['Điều 11: Sự đồng ý phải được thể hiện tự nguyện, rõ ràng, bằng văn bản hoặc định dạng điện tử có thể in/sao chép.']","Theo Nghị định 13, phải tự nguyện, rõ ràng và có thể lưu trữ/chứng minh được (văn bản, điện tử).","Dữ liệu trả về từ hệ thống cơ bản: Phải tự nguyện, rõ r...","Phải tự nguyện, rõ ràng và có thể lưu trữ/chứng minh được (văn bản, điện tử).",0.9330192092178272,0.9952480748204602,0.7825688237187938,0.8979447352437567
Sự im lặng có được coi là đồng ý không?,['Điều 11: Sự im lặng hoặc không phản hồi của chủ thể dữ liệu không được coi là sự đồng ý.'],"Theo Nghị định 13, không, im lặng không cấu thành sự đồng ý hợp lệ theo nghị định 13.","Dữ liệu trả về từ hệ thống cơ bản: Không, im lặng không...","Không, im lặng không cấu thành sự đồng ý hợp lệ theo Nghị định 13.",0.9428057893331044,0.8193841055099343,0.7655078893691692,0.9437373741884283
Nghị định 13 chính thức có hiệu lực khi nào?,['Nghị định số 13/2023/NĐ-CP có hiệu lực thi hành từ ngày 01 tháng 7 năm 2023.'],"Theo Nghị định 13, có hiệu lực từ ngày 01/07/2023.",Dữ liệu trả về từ hệ thống cơ bản: Có hiệu lực từ ngày ...,Có hiệu lực từ ngày 01/07/2023.,0.9326384843268521,0.9560895597827872,0.9430293626688009,0.8008505539705001
Quyền yêu cầu xóa dữ liệu bị giới hạn khi nào?,"['Điều 16: Không được xóa dữ liệu nếu pháp luật quy định không cho phép xóa (lưu trữ vì an ninh, thuế...).']","Theo Nghị định 13, bị giới hạn khi có luật khác quy định bắt buộc phải lưu trữ (như luật kế toán, an ninh).",Dữ liệu trả về từ hệ thống cơ bản: Bị giới hạn khi có l...,"Bị giới hạn khi có luật khác quy định bắt buộc phải lưu trữ (như luật kế toán, an ninh).",0.9562832015567531,0.9407363136515541,0.9644475560167792,0.8398029155030127
Hình ảnh khuôn mặt là dữ liệu cơ bản hay nhạy cảm?,['Điều 2: Dữ liệu cá nhân cơ bản gồm hình ảnh cá nhân. Tuy nhiên dữ liệu sinh trắc học là nhạy cảm.'],"Theo Nghị định 13, hình ảnh thông thường là cơ bản, nhưng nếu dùng để nhận diện sinh trắc học thì là nhạy cảm.",Dữ liệu trả về từ hệ thống cơ bản: Hình ảnh thông thườn...,"Hình ảnh thông thường là cơ bản, nhưng nếu dùng để nhận diện sinh trắc học thì là nhạy cảm.",0.9367131664984046,0.9757263777891234,0.9825786141035434,0.9902207610998855
Có quyền yêu cầu bồi thường thiệt hại không?,['Điều 9: Chủ thể dữ liệu có quyền yêu cầu bồi thường thiệt hại khi xảy ra vi phạm.'],"Theo Nghị định 13, có, chủ thể dữ liệu hoàn toàn có quyền yêu cầu bồi thường theo quy định.","Dữ liệu trả về từ hệ thống cơ bản: Có, chủ thể dữ liệu ...","Có, chủ thể dữ liệu hoàn toàn có quyền yêu cầu bồi thường theo quy định.",0.8854109476292504,0.8200066968709,0.9856509359401479,0.9770076418984938
Bên thứ ba nhận dữ liệu có cần xin phép chủ thể không?,['Điều 11: Phải thông báo cho chủ thể biết nếu cung cấp dữ liệu cho bên thứ ba.'],"Theo Nghị định 13, có, chủ thể dữ liệu phải được thông báo và đồng ý về việc chia sẻ cho bên thứ ba.","Dữ liệu trả về từ hệ thống cơ bản: Có, chủ thể dữ liệu ...","Có, chủ thể dữ liệu phải được thông báo và đồng ý về việc chia sẻ cho bên thứ ba.",0.9648325113335647,0.829604498777979,0.8362005203098939,0.925540921867332
Định nghĩa về thông tin vị trí cá nhân?,['Điều 2: Dữ liệu cá nhân nhạy cảm bao gồm thông tin vị trí xác định qua thiết bị định vị.'],"Theo Nghị định 13, thông tin vị trí xác định qua thiết bị là một dạng dữ liệu cá nhân nhạy cảm.",Dữ liệu trả về từ hệ thống cơ bản: Thông tin vị trí xác...,Thông tin vị trí xác định qua thiết bị là một dạng dữ liệu cá nhân nhạy cảm.,0.9758875814096925,0.9181178804152154,0.7715981661309872,0.8233628798590974
Có thể đồng ý một phần không?,['Điều 11: Chủ thể dữ liệu có thể đồng ý toàn bộ hoặc một phần mục đích xử lý dữ liệu.'],"Theo Nghị định 13, có thể đồng ý một phần hoặc chọn lọc các mục đích xử lý dữ liệu.",Dữ liệu trả về từ hệ thống cơ bản: Có thể đồng ý một ph...,Có thể đồng ý một phần hoặc chọn lọc các mục đích xử lý dữ liệu.,0.8557456346558372,0.9674095886625049,0.7898896248226743,0.8511890163393308
Ai chịu trách nhiệm giải quyết khiếu nại?,['Điều 2: Bên Kiểm soát hoặc Bên Kiểm soát và Xử lý dữ liệu chịu trách nhiệm giải quyết.'],"Theo Nghị định 13, bên kiểm soát dữ liệu là đơn vị chịu trách nhiệm chính trong việc giải quyết.",Dữ liệu trả về từ hệ thống cơ bản: Bên Kiểm soát dữ liệ...,Bên Kiểm soát dữ liệu là đơn vị chịu trách nhiệm chính trong việc giải quyết.,0.895752215304975,0.9512684044953504,0.7568637398115112,0.8597380484389827
Quyền hạn của Bộ Công an trong Nghị định này?,"['Bộ Công an có quyền thanh tra, kiểm tra, và xử lý vi phạm liên quan đến dữ liệu cá nhân.']","Theo Nghị định 13, được quyền thanh tra, kiểm tra, yêu cầu cung cấp hồ sơ và xử phạt vi phạm.",Dữ liệu trả về từ hệ thống cơ bản: Được quyền thanh tra...,"Được quyền thanh tra, kiểm tra, yêu cầu cung cấp hồ sơ và xử phạt vi phạm.",0.9288096722473774,0.9536872803999902,0.8921198310886711,0.9612403480757814
Thời gian lưu trữ dữ liệu cá nhân tối đa?,['Điều 16: Chỉ được lưu trữ trong khoảng thời gian phù hợp với mục đích xử lý.'],"Theo Nghị định 13, không có thời gian cố định, nhưng chỉ được lưu trong thời gian cần thiết để đạt mục đích xử lý.",Dữ liệu trả về từ hệ thống cơ bản: Không có thời gian c...,"Không có thời gian cố định, nhưng chỉ được lưu trong thời gian cần thiết để đạt mục đích xử lý.",0.9815100120278171,0.950316378481959,0.90307714237792,0.922639548241562
Xử lý dữ liệu để marketing cần điều kiện gì?,['Điều 21: Tổ chức chỉ được phép gửi quảng cáo khi có sự đồng ý trước của chủ thể dữ liệu.'],"Theo Nghị định 13, bắt buộc phải có sự đồng ý (opt-in) rõ ràng trước khi gửi quảng cáo/marketing.",Dữ liệu trả về từ hệ thống cơ bản: Bắt buộc phải có sự ...,Bắt buộc phải có sự đồng ý (Opt-in) rõ ràng trước khi gửi quảng cáo/marketing.,0.9125197925694737,0.870101771170166,0.9097342058806042,0.8088468606957625
Có được cung cấp dữ liệu cho công an không cần đồng ý không?,['Điều 17: Không cần đồng ý khi có yêu cầu từ cơ quan nhà nước có thẩm quyền theo luật định.'],"Theo Nghị định 13, có, nếu có yêu cầu hợp pháp từ cơ quan nhà nước phục vụ điều tra, an ninh.","Dữ liệu trả về từ hệ thống cơ bản: Có, nếu có yêu cầu h...","Có, nếu có yêu cầu hợp pháp từ cơ quan nhà nước phục vụ điều tra, an ninh.",0.9750533114451196,0.9283171715938515,0.837540679527949,0.9220434553746459
Dữ liệu đã mã hóa có được coi là an toàn tuyệt đối?,"['Mã hóa là biện pháp bảo vệ, nhưng vẫn phải tuân thủ quy định bảo vệ dữ liệu cá nhân.']","Theo Nghị định 13, mã hóa là một biện pháp kỹ thuật bắt buộc nhưng vẫn không loại trừ trách nhiệm tuân thủ quy định.",Dữ liệu trả về từ hệ thống cơ bản: Mã hóa là một biện p...,Mã hóa là một biện pháp kỹ thuật bắt buộc nhưng vẫn không loại trừ trách nhiệm tuân thủ quy định.,0.9060685271114561,0.8985531974270743,0.8933982627031166,0.8039536550276917
Biện pháp bảo vệ dữ liệu bao gồm những gì?,"['Điều 26: Bao gồm biện pháp quản lý, kỹ thuật, và các biện pháp quy định bởi cơ quan nhà nước.']","Theo Nghị định 13, gồm các chính sách nội bộ (quản lý) và hệ thống bảo mật (kỹ thuật).",Dữ liệu trả về từ hệ thống cơ bản: Gồm các chính sách n...,Gồm các chính sách nội bộ (quản lý) và hệ thống bảo mật (kỹ thuật).,0.951071476767382,0.9994748134175757,0.9423019090268224,0.8232075411951107
Dữ liệu sinh trắc học là gì?,"['Điều 2: Là những thuộc tính vật lý, sinh học riêng biệt như vân tay, mống mắt, ADN.']","Theo Nghị định 13, gồm vân tay, mống mắt, adn, khuôn mặt dùng để nhận diện duy nhất.","Dữ liệu trả về từ hệ thống cơ bản: Gồm vân tay, mống mắ...","Gồm vân tay, mống mắt, ADN, khuôn mặt dùng để nhận diện duy nhất.",0.9617747240380108,0.8157596496132052,0.9528053603278378,0.8867255903218808
Khác nhau giữa Bên Kiểm soát và Bên Xử lý?,['Bên Kiểm soát quyết định mục đích. Bên Xử lý chỉ thực hiện theo yêu cầu của Bên Kiểm soát.'],"Theo Nghị định 13, bên kiểm soát là người ra quyết định, còn bên xử lý là người làm thuê/thực thi.",Dữ liệu trả về từ hệ thống cơ bản: Bên Kiểm soát là ngư...,"Bên Kiểm soát là người ra quyết định, còn Bên Xử lý là người làm thuê/thực thi.",0.891352176313093,0.903186389445099,0.9727511514125498,0.8270999243422957
Chủ thể dữ liệu có quyền tự bảo vệ không?,['Điều 9: Chủ thể dữ liệu có quyền tự bảo vệ mình theo quy định của pháp luật dân sự và NĐ13.'],"Theo Nghị định 13, có, chủ thể có quyền tự bảo vệ hoặc yêu cầu cơ quan thẩm quyền bảo vệ.","Dữ liệu trả về từ hệ thống cơ bản: Có, chủ thể có quyền...","Có, chủ thể có quyền tự bảo vệ hoặc yêu cầu cơ quan thẩm quyền bảo vệ.",0.955059027702271,0.9561393903425743,0.845231305309151,0.8709947237078077
Hồ sơ chuyển dữ liệu ra nước ngoài gồm những gì?,"['Điều 25: Gồm thông tin bên chuyển, bên nhận, loại dữ liệu, mục đích, hợp đồng cam kết bảo vệ.']","Theo Nghị định 13, gồm thông tin các bên, mục đích, loại dữ liệu và cam kết bảo vệ dữ liệu.",Dữ liệu trả về từ hệ thống cơ bản: Gồm thông tin các bê...,"Gồm thông tin các bên, mục đích, loại dữ liệu và cam kết bảo vệ dữ liệu.",0.9516287579497378,0.9697429329208667,0.8261866712709862,0.8067324557871954
Dữ liệu cá nhân cơ bản có cần bảo vệ không?,"['Có, tất cả dữ liệu cá nhân (cơ bản và nhạy cảm) đều phải được bảo vệ theo Nghị định 13.']","Theo Nghị định 13, có, dữ liệu cơ bản vẫn là dữ liệu cá nhân và phải tuân thủ toàn bộ quy định bảo vệ.","Dữ liệu trả về từ hệ thống cơ bản: Có, dữ liệu cơ bản v...","Có, dữ liệu cơ bản vẫn là dữ liệu cá nhân và phải tuân thủ toàn bộ quy định bảo vệ.",0.886123070383845,0.9740356140001822,0.816770963028921,0.87288356798127
Đồng ý xử lý dữ liệu qua click chuột có hợp lệ?,"['Điều 11: Sự đồng ý có định dạng điện tử có thể in, sao chép được là hợp lệ.']","Theo Nghị định 13, hợp lệ nếu hệ thống ghi nhận được thao tác đó một cách rõ ràng và có thể trích xuất.",Dữ liệu trả về từ hệ thống cơ bản: Hợp lệ nếu hệ thống ...,Hợp lệ nếu hệ thống ghi nhận được thao tác đó một cách rõ ràng và có thể trích xuất.,0.8534944842291324,0.8564199376964118,0.7638252309446332,0.8011141882625664
Trẻ em dưới 7 tuổi thì xin phép ai?,"['Điều 20: Với trẻ dưới 7 tuổi, chỉ cần sự đồng ý của cha mẹ hoặc người giám hộ hợp pháp.']","Theo Nghị định 13, chỉ cần xin phép và có sự đồng ý của cha mẹ hoặc người giám hộ.",Dữ liệu trả về từ hệ thống cơ bản: Chỉ cần xin phép và ...,Chỉ cần xin phép và có sự đồng ý của cha mẹ hoặc người giám hộ.,0.9141898011963082,0.8547403114264349,0.9001484801364887,0.9763339176446855
Dữ liệu đã ẩn danh có thuộc phạm vi NĐ13 không?,['Dữ liệu đã ẩn danh hoàn toàn (không thể định danh lại) thì không còn là dữ liệu cá nhân.'],"Theo Nghị định 13, không, nếu đã ẩn danh hoàn toàn không thể khôi phục thì nằm ngoài phạm vi nđ13.","Dữ liệu trả về từ hệ thống cơ bản: Không, nếu đã ẩn dan...","Không, nếu đã ẩn danh hoàn toàn không thể khôi phục thì nằm ngoài phạm vi NĐ13.",0.86812301342356,0.9111855207039494,0.8574592006945567,0.8990595383530888
Khi nào được từ chối yêu cầu truy cập dữ liệu của chủ thể?,"['Điều 14: Được từ chối nếu việc truy cập ảnh hưởng đến quốc phòng, an ninh quốc gia.']","Theo Nghị định 13, khi yêu cầu đó xâm phạm đến an ninh quốc gia, quốc phòng hoặc bí mật nhà nước.",Dữ liệu trả về từ hệ thống cơ bản: Khi yêu cầu đó xâm p...,"Khi yêu cầu đó xâm phạm đến an ninh quốc gia, quốc phòng hoặc bí mật nhà nước.",0.8908625165526446,0.8685468305288916,0.9236981318260729,0.8271056637700257
Bộ phận bảo vệ dữ liệu cá nhân có bắt buộc không?,"['Điều 28: Chỉ bắt buộc với cơ quan, tổ chức xử lý dữ liệu cá nhân nhạy cảm.']","Theo Nghị định 13, chỉ bắt buộc đối với các tổ chức có xử lý dữ liệu cá nhân nhạy cảm.",Dữ liệu trả về từ hệ thống cơ bản: Chỉ bắt buộc đối với...,Chỉ bắt buộc đối với các tổ chức có xử lý dữ liệu cá nhân nhạy cảm.,0.9005145354943357,0.8268486895831959,0.9545317443842986,0.841383648984785
Quy định về thời hạn thông báo vi phạm?,['Điều 23: Phải thông báo cho A05 trong vòng 72 giờ sau khi phát hiện vi phạm.'],"Theo Nghị định 13, giới hạn là 72 giờ tính từ thời điểm phát hiện ra sự cố rò rỉ dữ liệu.",Dữ liệu trả về từ hệ thống cơ bản: Giới hạn là 72 giờ t...,Giới hạn là 72 giờ tính từ thời điểm phát hiện ra sự cố rò rỉ dữ liệu.,0.8911646584402395,0.9312990828041368,0.7890355067735391,0.8532263856137974
Trách nhiệm của cá nhân đối với dữ liệu của người khác?,"['Mọi cá nhân phải tôn trọng, bảo vệ dữ liệu cá nhân của người khác, không được mua bán trái phép.']","Theo Nghị định 13, phải tôn trọng, không thu thập hay chia sẻ trái phép dữ liệu của người khác.","Dữ liệu trả về từ hệ thống cơ bản: Phải tôn trọng, khôn...","Phải tôn trọng, không thu thập hay chia sẻ trái phép dữ liệu của người khác.",0.9222923845461113,0.8633017492431116,0.9232623440226779,0.9808671112646724
